candidate,office,district,party,county,precinct,total votes,650-ED,IVO-ED
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 1,4,3,1
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 1,2,0,2
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 1,15,14,1
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 1,8,6,2
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 1,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 2,2,2,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 2,1,1,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 2,28,25,3
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 2,5,5,0
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 2,1,1,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 2,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 3,17,14,3
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 3,6,5,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 3,26,20,6
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 3,1,0,1
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 3,13,7,6
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 3,2,2,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 3,5,2,3
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 3,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 5,11,5,6
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 5,2,1,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 5,24,22,2
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 5,1,0,1
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 5,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 5,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 5,8,4,4
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 5,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 5,1,1,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 5,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 5,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 5,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 5,1,1,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 5,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 6,12,12,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 6,3,3,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 6,46,38,8
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 6,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 6,2,2,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 6,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 6,14,13,1
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 6,1,1,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 6,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 6,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 6,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 6,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 6,3,2,1
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 6,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 7A,12,9,3
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 7A,7,5,2
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 7A,31,28,3
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 7A,10,7,3
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 7A,1,0,1
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 7A,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 7A,3,2,1
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 7A,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 7B,3,3,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 7B,5,4,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 7B,24,23,1
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 7B,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 7B,1,1,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 7B,1,1,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 7B,6,6,0
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 7B,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 7B,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 7B,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 7B,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 7B,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 7B,5,5,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 7B,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 8,6,6,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 8,1,1,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 8,27,27,0
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 8,15,15,0
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 8,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 8,4,3,1
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 8,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 9,2,1,1
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 9,5,4,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 9,27,24,3
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 9,1,1,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 9,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 9,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 9,15,12,3
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 9,1,1,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 9,1,1,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 9,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 9,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 9,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 9,6,5,1
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 9,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 11,7,5,2
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 11,2,2,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 11,20,12,8
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 11,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 11,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 11,2,2,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 11,6,5,1
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 11,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 11,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 11,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 11,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 11,1,0,1
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 11,1,1,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 11,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 12,7,7,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 12,5,5,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 12,11,10,1
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 12,9,9,0
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 12,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 12,1,1,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 12,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 13,2,2,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 13,5,5,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 13,20,20,0
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 13,23,22,1
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 13,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 13,5,5,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 13,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 14,3,3,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 14,4,3,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 14,13,11,2
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 14,19,14,5
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 14,1,1,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 14,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 14,2,2,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 14,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,