candidate,office,district,party,county,precinct,total votes ,election day,early voting
,Registered Voters ,,,Berkeley,PRECINCT 1,879,,
,Ballots Cast ,,,Berkeley,PRECINCT 1,325,238,87
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 1,28,20,8
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 1,82,60,22
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 1,4,4,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 1,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 1,107,82,25
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 1,191,135,56
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 1,13,10,3
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 1,5,3,2
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 1,172,129,43
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 1,132,94,38
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 1,5,4,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 1,112,85,27
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 1,202,146,56
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 1,116,82,34
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 1,185,137,48
,Registered Voters ,,,Berkeley,PRECINCT 2,1051,,
,Ballots Cast ,,,Berkeley,PRECINCT 2,439,287,152
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 2,35,18,17
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 2,81,55,26
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 2,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 2,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 2,155,89,66
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 2,254,179,75
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 2,13,10,3
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 2,6,5,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 2,242,159,83
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 2,170,112,58
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 2,8,6,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 2,153,101,52
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 2,272,180,92
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 2,196,123,73
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 2,218,149,69
,Registered Voters ,,,Berkeley,PRECINCT 5,1150,,
,Ballots Cast ,,,Berkeley,PRECINCT 5,405,254,151
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 5,78,49,29
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 5,81,43,38
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 5,2,1,1
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 5,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 5,176,114,62
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 5,200,119,81
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 5,12,7,5
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 5,7,6,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 5,234,154,80
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 5,144,84,60
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 5,7,2,5
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 5,170,107,63
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 5,212,130,82
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 5,203,130,73
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 5,170,104,66
,Registered Voters ,,,Berkeley,PRECINCT 6,662,,
,Ballots Cast ,,,Berkeley,PRECINCT 6,185,125,60
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 6,26,21,5
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 6,43,29,14
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 6,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 6,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 6,59,41,18
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 6,109,71,38
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 6,10,6,4
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 6,2,2,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 6,103,71,32
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 6,66,45,21
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 6,4,3,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 6,68,52,16
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 6,109,68,41
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 6,84,58,26
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 6,88,59,29
,Registered Voters ,,,Berkeley,PRECINCT 7,1005,,
,Ballots Cast ,,,Berkeley,PRECINCT 7,274,190,84
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 7,28,15,13
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 7,65,52,13
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 7,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 7,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 7,90,55,35
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 7,166,124,42
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 7,8,6,2
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 7,5,3,2
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 7,127,79,48
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 7,132,101,31
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 7,6,4,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 7,89,58,31
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 7,177,127,50
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 7,116,73,43
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 7,144,108,36
,Registered Voters ,,,Berkeley,PRECINCT 8,550,,
,Ballots Cast ,,,Berkeley,PRECINCT 8,124,83,41
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 8,14,8,6
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 8,36,28,8
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 8,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 8,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 8,41,27,14
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 8,77,50,27
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 8,3,3,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 8,1,1,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 8,61,41,20
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 8,58,39,19
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 8,2,2,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 8,38,27,11
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 8,84,56,28
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 8,55,42,13
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 8,66,40,26
,Registered Voters ,,,Berkeley,PRECINCT 9,1021,,
,Ballots Cast ,,,Berkeley,PRECINCT 9,561,338,223
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 9,80,55,25
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 9,96,51,45
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 9,2,1,1
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 9,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 9,256,165,91
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 9,183,160,123
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 9,10,7,3
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 9,6,4,2
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 9,359,229,130
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 9,183,100,83
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 9,7,4,3
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 9,249,164,85
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 9,300,1699,131
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 9,321,203,118
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 9,215,123,92
,Registered Voters ,,,Berkeley,PRECINCT 9-22A,711,,
,Ballots Cast ,,,Berkeley,PRECINCT 9-22A,333,221,112
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 9-22A,54,31,23
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 9-22A,80,60,20
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 9-22A,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 9-22A,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 9-22A,162,101,61
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 9-22A,163,115,48
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 9-22A,3,3,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 9-22A,1,1,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 9-22A,192,125,67
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 9-22A,124,84,40
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 9-22A,5,5,0
Jeremy Donald Bauserman,State Senate,15,REP,Berkeley,PRECINCT 9-22A,168,108,60
Walt Helmick ,State Senate,15,DEM,Berkeley,PRECINCT 9-22A,142,101,41
Eric L. Householder,House of Delegates,56,REP,Berkeley,PRECINCT 9-22A,187,122,65
Terry L. Walker,House of Delegates,56,DEM,Berkeley,PRECINCT 9-22A,134,93,41
,Registered Voters ,,,Berkeley,PRECINCT 10,1107,,
,Ballots Cast ,,,Berkeley,PRECINCT 10,454,321,133
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 10,73,45,28
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 10,68,53,15
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 10,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 10,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 10,200,134,66
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 10,238,177,61
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 10,8,4,4
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 10,3,3,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 10,276,189,87
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 10,154,114,40
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 10,6,5,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 10,184,121,63
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 10,262,194,68
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 10,265,181,84
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 10,169,124,45
,Registered Voters ,,,Berkeley,PRECINCT 11,429,,
,Ballots Cast ,,,Berkeley,PRECINCT 11,237,158,79
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 11,28,16,12
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 11,21,13,8
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 11,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 11,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 11,89,56,33
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 11,134,93,41
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 11,12,8,4
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 11,0,0,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 11,145,98,47
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 11,74,50,24
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 11,6,4,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 11,98,58,40
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 11,130,94,36
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 11,132,85,47
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 11,92,65,27
,Registered Voters ,,,Berkeley,PRECINCT 12,1458,,
,Ballots Cast ,,,Berkeley,PRECINCT 12,705,482,223
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 12,139,94,45
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 12,110,77,33
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 12,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 12,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 12,351,233,118
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 12,326,224,102
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 12,12,11,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 12,3,3,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 12,458,323,135
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 12,214,139,75
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 12,9,6,3
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 12,354,252,102
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 12,319,210,109
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 12,417,293,124
Donn Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 12,258,170,88
,Registered Voters ,,,Berkeley,PRECINCT 13,633,,
,Ballots Cast ,,,Berkeley,PRECINCT 13,255,188,67
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 13,51,35,16
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 13,32,24,8
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 13,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 13,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 13,144,101,43
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 13,96,75,21
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 13,7,6,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 13,3,3,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 13,169,124,45
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 13,77,59,18
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 13,3,2,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 13,142,98,44
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 13,11,89,22
Eric L. Householder,House of Delegates,56,REP,Berkeley,PRECINCT 13,154,110,44
Terry L. Walker,House of Delegates,56,DEM,Berkeley,PRECINCT 13,93,72,21
,Registered Voters ,,,Berkeley,PRECINCT 14,587,,
,Ballots Cast ,,,Berkeley,PRECINCT 14,145,98,47
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 14,18,7,11
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 14,42,33,9
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 14,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 14,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 14,40,21,19
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 14,95,68,27
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 14,5,4,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 14,2,2,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 14,64,40,24
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 14,73,53,20
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 14,1,1,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 14,47,28,19
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 14,93,67,26
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 14,61,32,29
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 14,77,61,16
,Registered Voters ,,,Berkeley,PRECINCT 15,774,,
,Ballots Cast ,,,Berkeley,PRECINCT 15,215,158,57
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 15,43,31,12
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 15,59,41,18
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 15,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 15,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 15,89,65,24
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 15,117,85,32
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 15,4,3,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 15,1,1,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 15,112,85,27
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 15,93,67,26
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 15,4,2,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 15,86,60,26
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 15,123,92,31
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 15,109,81,28
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 15,92,64,28
,Registered Voters ,,,Berkeley,PRECINCT 16,1446,,
,Ballots Cast ,,,Berkeley,PRECINCT 16,573,399,174
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 16,100,65,35
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 16,104,79,25
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 16,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 16,1,0,1
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 16,271,187,84
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 16,280,198,82
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 16,13,11,2
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 16,2,0,2
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 16,352,244,108
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 16,194,136,58
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 16,7,5,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 16,256,180,76
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 16,295,207,88
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 16,289,203,86
Donn Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 16,260,181,79
,Registered Voters ,,,Berkeley,PRECINCT 17,915,,
,Ballots Cast ,,,Berkeley,PRECINCT 17,309,233,76
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 17,61,37,24
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 17,42,37,5
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 17,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 17,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 17,165,115,50
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 17,136,113,23
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 17,3,3,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 17,2,1,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 17,219,157,62
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 17,74,64,10
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 17,5,5,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 17,150,111,39
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 17,152,117,35
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 17,196,143,53
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 17,96,79,17
,Registered Voters ,,,Berkeley,PRECINCT 18,1173,,
,Ballots Cast ,,,Berkeley,PRECINCT 18,366,251,115
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 18,82,51,31
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 18,67,46,21
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 18,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 18,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 18,183,132,51
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 18,160,106,54
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 18,13,7,6
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 18,2,1,1
