candidate,office,district,party,county,precinct,total votes ,election day ,early voting 
,Registered Voters ,,Democratic,Lewis,Precinct 13,410,,
,Registered Voters ,,Republican ,Lewis,Precinct 13,389,,
,Ballots Cast ,,Democratic,Lewis,Precinct 13,120,120,0
,Ballots Cast ,,Republican ,Lewis,Precinct 13,109,109,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 13,47,47,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 13,4,4,0
John D. Perdue,Governor,,,Lewis,Precinct 13,9,9,0
Rick Thompson,Governor,,,Lewis,Precinct 13,31,31,0
Arne Moltis,Governor,,,Lewis,Precinct 13,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 13,29,29,0
Bill Maloney ,Governor,,,Lewis,Precinct 13,56,56,0
Ralph William Clark,Governor,,,Lewis,Precinct 13,6,6,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 13,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 13,1,1,0
Clark Barnes,Governor,,,Lewis,Precinct 13,11,11,0
Cliff Ellis,Governor,,,Lewis,Precinct 13,1,1,0
Betty Ireland,Governor,,,Lewis,Precinct 13,31,31,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 13,1,1,0
,Registered Voters ,,Democratic,Lewis,Precinct 14,186,,
,Registered Voters ,,Republican ,Lewis,Precinct 14,154,,
,Ballots Cast ,,Democratic,Lewis,Precinct 14,60,60,0
,Ballots Cast ,,Republican ,Lewis,Precinct 14,49,49,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 14,13,13,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 14,1,1,0
John D. Perdue,Governor,,,Lewis,Precinct 14,12,12,0
Rick Thompson,Governor,,,Lewis,Precinct 14,14,14,0
Arne Moltis,Governor,,,Lewis,Precinct 14,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 14,20,20,0
Bill Maloney ,Governor,,,Lewis,Precinct 14,29,29,0
Ralph William Clark,Governor,,,Lewis,Precinct 14,1,1,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 14,1,1,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 14,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 14,4,4,0
Cliff Ellis,Governor,,,Lewis,Precinct 14,1,1,0
Betty Ireland,Governor,,,Lewis,Precinct 14,13,13,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 14,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 15,270,,
,Registered Voters ,,Republican ,Lewis,Precinct 15,270,,
,Ballots Cast ,,Democratic,Lewis,Precinct 15,84,84,0
,Ballots Cast ,,Republican ,Lewis,Precinct 15,105,105,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 15,36,36,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 15,2,2,0
John D. Perdue,Governor,,,Lewis,Precinct 15,7,7,0
Rick Thompson,Governor,,,Lewis,Precinct 15,13,13,0
Arne Moltis,Governor,,,Lewis,Precinct 15,2,2,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 15,23,23,0
Bill Maloney ,Governor,,,Lewis,Precinct 15,45,45,0
Ralph William Clark,Governor,,,Lewis,Precinct 15,4,4,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 15,1,1,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 15,3,3,0
Clark Barnes,Governor,,,Lewis,Precinct 15,14,14,0
Cliff Ellis,Governor,,,Lewis,Precinct 15,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 15,35,35,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 15,2,2,0
,Registered Voters ,,Democratic,Lewis,Precinct 16,112,,
,Registered Voters ,,Republican ,Lewis,Precinct 16,55,,
,Ballots Cast ,,Democratic,Lewis,Precinct 16,23,23,0
,Ballots Cast ,,Republican ,Lewis,Precinct 16,9,9,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 16,5,5,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 16,1,1,0
John D. Perdue,Governor,,,Lewis,Precinct 16,3,3,0
Rick Thompson,Governor,,,Lewis,Precinct 16,4,4,0
Arne Moltis,Governor,,,Lewis,Precinct 16,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 16,10,10,0
Bill Maloney ,Governor,,,Lewis,Precinct 16,3,3,0
Ralph William Clark,Governor,,,Lewis,Precinct 16,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 16,1,1,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 16,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 16,1,1,0
Cliff Ellis,Governor,,,Lewis,Precinct 16,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 16,3,3,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 16,1,1,0
,Registered Voters ,,Democratic,Lewis,Precinct 17,152,,
,Registered Voters ,,Republican ,Lewis,Precinct 17,121,,
,Ballots Cast ,,Democratic,Lewis,Precinct 17,43,43,0
,Ballots Cast ,,Republican ,Lewis,Precinct 17,34,34,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 17,13,13,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 17,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 17,5,5,0
Rick Thompson,Governor,,,Lewis,Precinct 17,7,7,0
Arne Moltis,Governor,,,Lewis,Precinct 17,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 17,18,18,0
Bill Maloney ,Governor,,,Lewis,Precinct 17,9,9,0
Ralph William Clark,Governor,,,Lewis,Precinct 17,1,1,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 17,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 17,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 17,5,5,0
Cliff Ellis,Governor,,,Lewis,Precinct 17,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 17,18,18,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 17,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 18,94,,
,Registered Voters ,,Republican ,Lewis,Precinct 18,55,,
,Ballots Cast ,,Democratic,Lewis,Precinct 18,24,24,0
,Ballots Cast ,,Republican ,Lewis,Precinct 18,16,16,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 18,7,7,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 18,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 18,1,1,0
Rick Thompson,Governor,,,Lewis,Precinct 18,6,6,0
Arne Moltis,Governor,,,Lewis,Precinct 18,1,1,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 18,9,9,0
Bill Maloney ,Governor,,,Lewis,Precinct 18,11,11,0
Ralph William Clark,Governor,,,Lewis,Precinct 18,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 18,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 18,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 18,1,1,0
Cliff Ellis,Governor,,,Lewis,Precinct 18,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 18,4,4,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 18,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 19,107,,
,Registered Voters ,,Republican ,Lewis,Precinct 19,81,,
,Ballots Cast ,,Democratic,Lewis,Precinct 19,26,26,0
,Ballots Cast ,,Republican ,Lewis,Precinct 19,23,23,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 19,12,12,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 19,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 19,4,4,0
Rick Thompson,Governor,,,Lewis,Precinct 19,2,2,0
Arne Moltis,Governor,,,Lewis,Precinct 19,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 19,7,7,0
Bill Maloney ,Governor,,,Lewis,Precinct 19,16,16,0
Ralph William Clark,Governor,,,Lewis,Precinct 19,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 19,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 19,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 19,3,3,0
Cliff Ellis,Governor,,,Lewis,Precinct 19,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 19,4,4,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 19,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 20,300,,
,Registered Voters ,,Republican ,Lewis,Precinct 20,247,,
,Ballots Cast ,,Democratic,Lewis,Precinct 20,85,85,0
,Ballots Cast ,,Republican ,Lewis,Precinct 20,77,77,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 20,40,40,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 20,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 20,16,16,0
Rick Thompson,Governor,,,Lewis,Precinct 20,15,15,0
Arne Moltis,Governor,,,Lewis,Precinct 20,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 20,14,14,0
Bill Maloney ,Governor,,,Lewis,Precinct 20,40,40,0
Ralph William Clark,Governor,,,Lewis,Precinct 20,2,2,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 20,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 20,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 20,15,15,0
Cliff Ellis,Governor,,,Lewis,Precinct 20,2,2,0
Betty Ireland,Governor,,,Lewis,Precinct 20,16,16,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 20,1,1,0
,Registered Voters ,,Democratic,Lewis,Precinct 21,157,,
,Registered Voters ,,Republican ,Lewis,Precinct 21,130,,
,Ballots Cast ,,Democratic,Lewis,Precinct 21,52,52,0
,Ballots Cast ,,Republican ,Lewis,Precinct 21,39,39,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 21,18,18,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 21,5,5,0
John D. Perdue,Governor,,,Lewis,Precinct 21,4,4,0
Rick Thompson,Governor,,,Lewis,Precinct 21,15,15,0
Arne Moltis,Governor,,,Lewis,Precinct 21,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 21,10,10,0
Bill Maloney ,Governor,,,Lewis,Precinct 21,14,14,0
Ralph William Clark,Governor,,,Lewis,Precinct 21,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 21,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 21,2,2,0
Clark Barnes,Governor,,,Lewis,Precinct 21,7,7,0
Cliff Ellis,Governor,,,Lewis,Precinct 21,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 21,16,16,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 21,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 22,89,,
,Registered Voters ,,Republican ,Lewis,Precinct 22,55,,
,Ballots Cast ,,Democratic,Lewis,Precinct 22,21,21,0
,Ballots Cast ,,Republican ,Lewis,Precinct 22,10,10,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 22,7,7,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 22,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 22,2,2,0
Rick Thompson,Governor,,,Lewis,Precinct 22,4,4,0
Arne Moltis,Governor,,,Lewis,Precinct 22,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 22,7,7,0
Bill Maloney ,Governor,,,Lewis,Precinct 22,7,7,0
Ralph William Clark,Governor,,,Lewis,Precinct 22,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 22,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 22,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 22,1,1,0
Cliff Ellis,Governor,,,Lewis,Precinct 22,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 22,2,2,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 22,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 23,248,,
,Registered Voters ,,Republican ,Lewis,Precinct 23,163,,
,Ballots Cast ,,Democratic,Lewis,Precinct 23,68,68,0
,Ballots Cast ,,Republican ,Lewis,Precinct 23,47,47,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 23,24,24,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 23,1,1,0
John D. Perdue,Governor,,,Lewis,Precinct 23,4,4,0
Rick Thompson,Governor,,,Lewis,Precinct 23,21,21,0
Arne Moltis,Governor,,,Lewis,Precinct 23,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 23,18,18,0
Bill Maloney ,Governor,,,Lewis,Precinct 23,30,30,0
Ralph William Clark,Governor,,,Lewis,Precinct 23,0,0,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 23,1,1,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 23,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 23,5,5,0
Cliff Ellis,Governor,,,Lewis,Precinct 23,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 23,10,10,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 23,0,0,0
,Registered Voters ,,Democratic,Lewis,Precinct 24,261,,
,Registered Voters ,,Republican ,Lewis,Precinct 24,183,,
,Ballots Cast ,,Democratic,Lewis,Precinct 24,68,68,0
,Ballots Cast ,,Republican ,Lewis,Precinct 24,40,40,0
Earl Ray Tomblin,Governor,,,Lewis,Precinct 24,20,20,0
Jeffrey V. Kessler ,Governor,,,Lewis,Precinct 24,0,0,0
John D. Perdue,Governor,,,Lewis,Precinct 24,9,9,0
Rick Thompson,Governor,,,Lewis,Precinct 24,14,14,0
Arne Moltis,Governor,,,Lewis,Precinct 24,0,0,0
Natalie E. Tennant ,Governor,,,Lewis,Precinct 24,16,16,0
Bill Maloney ,Governor,,,Lewis,Precinct 24,21,21,0
Ralph William Clark,Governor,,,Lewis,Precinct 24,2,2,0
Larry V. Faircloth,Governor,,,Lewis,Precinct 24,0,0,0
Mark A. Sorsaia,Governor,,,Lewis,Precinct 24,0,0,0
Clark Barnes,Governor,,,Lewis,Precinct 24,3,3,0
Cliff Ellis,Governor,,,Lewis,Precinct 24,0,0,0
Betty Ireland,Governor,,,Lewis,Precinct 24,14,14,0
Mitch B. Carmichael ,Governor,,,Lewis,Precinct 24,0,0,0