candidate,office,district,party,county,precinct,total votes,election day,early voting
,Registered Voters ,,,Wayne,Precinct 1,1286,,
,Ballots Cast,,,Wayne,Precinct 1,243,243,0
,Straight Party,,REP,Wayne,Precinct 1,22,22,0
,Straight Party,,DEM,Wayne,Precinct 1,40,40,0
,Straight Party,,MTN,Wayne,Precinct 1,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 1,97,97,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 1,141,141,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 1,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 1,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 1,0,0,0
,Registered Voters ,,,Wayne,Precinct 3,0,,
,Ballots Cast,,,Wayne,Precinct 3,184,184,0
,Straight Party,,REP,Wayne,Precinct 3,29,29,0
,Straight Party,,DEM,Wayne,Precinct 3,44,44,0
,Straight Party,,MTN,Wayne,Precinct 3,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 3,74,74,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 3,101,101,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 3,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 3,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 3,1,1,0
,Registered Voters ,,,Wayne,Precinct 5,930,,
,Ballots Cast,,,Wayne,Precinct 5,186,186,0
,Straight Party,,REP,Wayne,Precinct 5,15,15,0
,Straight Party,,DEM,Wayne,Precinct 5,30,30,0
,Straight Party,,MTN,Wayne,Precinct 5,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 5,74,74,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 5,106,106,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 5,3,3,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 5,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 5,0,0,0
,Registered Voters ,,,Wayne,Precinct 6,764,,
,Ballots Cast,,,Wayne,Precinct 6,86,86,0
,Straight Party,,REP,Wayne,Precinct 6,11,11,0
,Straight Party,,DEM,Wayne,Precinct 6,21,21,0
,Straight Party,,MTN,Wayne,Precinct 6,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 6,30,30,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 6,52,52,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 6,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 6,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 6,0,0,0
,Registered Voters ,,,Wayne,Precinct 11,0,,
,Ballots Cast,,,Wayne,Precinct 11,123,123,0
,Straight Party,,REP,Wayne,Precinct 11,9,9,0
,Straight Party,,DEM,Wayne,Precinct 11,12,12,0
,Straight Party,,MTN,Wayne,Precinct 11,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 11,42,42,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 11,77,77,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 11,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 11,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 11,0,0,0
,Registered Voters ,,,Wayne,Precinct 12,583,,
,Ballots Cast,,,Wayne,Precinct 12,160,160,0
,Straight Party,,REP,Wayne,Precinct 12,4,4,0
,Straight Party,,DEM,Wayne,Precinct 12,12,12,0
,Straight Party,,MTN,Wayne,Precinct 12,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 12,47,47,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 12,104,104,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 12,3,3,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 12,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 12,1,1,0
,Registered Voters ,,,Wayne,Precinct 13,910,,
,Ballots Cast,,,Wayne,Precinct 13,194,194,0
,Straight Party,,REP,Wayne,Precinct 13,13,13,0
,Straight Party,,DEM,Wayne,Precinct 13,31,31,0
,Straight Party,,MTN,Wayne,Precinct 13,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 13,79,79,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 13,109,109,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 13,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 13,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 13,1,1,0
,Registered Voters ,,,Wayne,Precinct 14,1201,,
,Ballots Cast,,,Wayne,Precinct 14,345,345,0
,Straight Party,,REP,Wayne,Precinct 14,21,21,0
,Straight Party,,DEM,Wayne,Precinct 14,37,37,0
,Straight Party,,MTN,Wayne,Precinct 14,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 14,157,157,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 14,180,180,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 14,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 14,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 14,1,1,0
,Registered Voters ,,,Wayne,Precinct 16,447,,
,Ballots Cast,,,Wayne,Precinct 16,115,115,0
,Straight Party,,REP,Wayne,Precinct 16,16,16,0
,Straight Party,,DEM,Wayne,Precinct 16,22,22,0
,Straight Party,,MTN,Wayne,Precinct 16,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 16,51,51,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 16,60,60,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 16,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 16,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 16,1,1,0
,Registered Voters ,,,Wayne,Precinct 17,645,,
,Ballots Cast,,,Wayne,Precinct 17,188,188,0
,Straight Party,,REP,Wayne,Precinct 17,20,20,0
,Straight Party,,DEM,Wayne,Precinct 17,26,26,0
,Straight Party,,MTN,Wayne,Precinct 17,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 17,96,96,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 17,86,86,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 17,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 17,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 17,0,0,0
,Registered Voters ,,,Wayne,Precinct 18,647,,
,Ballots Cast,,,Wayne,Precinct 18,171,171,0
,Straight Party,,REP,Wayne,Precinct 18,12,12,0
,Straight Party,,DEM,Wayne,Precinct 18,25,25,0
,Straight Party,,MTN,Wayne,Precinct 18,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 18,65,65,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 18,93,93,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 18,5,5,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 18,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 18,2,2,0
,Registered Voters ,,,Wayne,Precinct 19,1114,,
,Ballots Cast,,,Wayne,Precinct 19,225,225,0
,Straight Party,,REP,Wayne,Precinct 19,30,30,0
,Straight Party,,DEM,Wayne,Precinct 19,34,34,0
,Straight Party,,MTN,Wayne,Precinct 19,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 19,128,128,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 19,90,90,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 19,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 19,3,3,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 19,2,2,0
,Registered Voters ,,,Wayne,Precinct 20,803,,
,Ballots Cast,,,Wayne,Precinct 20,188,188,0
,Straight Party,,REP,Wayne,Precinct 20,19,19,0
,Straight Party,,DEM,Wayne,Precinct 20,27,27,0
,Straight Party,,MTN,Wayne,Precinct 20,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 20,68,68,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 20,113,113,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 20,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 20,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 20,0,0,0
,Registered Voters ,,,Wayne,Precinct 21,511,,
,Ballots Cast,,,Wayne,Precinct 21,138,138,0
,Straight Party,,REP,Wayne,Precinct 21,15,15,0
,Straight Party,,DEM,Wayne,Precinct 21,20,20,0
,Straight Party,,MTN,Wayne,Precinct 21,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 21,57,57,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 21,76,76,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 21,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 21,3,3,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 21,0,0,0
,Registered Voters ,,,Wayne,Precinct 22,603,,
,Ballots Cast,,,Wayne,Precinct 22,190,190,0
,Straight Party,,REP,Wayne,Precinct 22,17,17,0
,Straight Party,,DEM,Wayne,Precinct 22,25,25,0
,Straight Party,,MTN,Wayne,Precinct 22,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 22,85,85,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 22,100,100,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 22,3,3,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 22,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 22,0,0,0
,Registered Voters ,,,Wayne,Precinct 30,0,,
,Ballots Cast,,,Wayne,Precinct 30,127,127,0
,Straight Party,,REP,Wayne,Precinct 30,23,23,0
,Straight Party,,DEM,Wayne,Precinct 30,28,28,0
,Straight Party,,MTN,Wayne,Precinct 30,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 30,48,48,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 30,76,76,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 30,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 30,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 30,1,1,0
,Registered Voters ,,,Wayne,Precinct 31,702,,
,Ballots Cast,,,Wayne,Precinct 31,136,136,0
,Straight Party,,REP,Wayne,Precinct 31,6,6,0
,Straight Party,,DEM,Wayne,Precinct 31,18,18,0
,Straight Party,,MTN,Wayne,Precinct 31,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 31,42,42,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 31,85,85,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 31,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 31,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 31,3,3,0
,Registered Voters ,,,Wayne,Precinct 34,940,,
,Ballots Cast,,,Wayne,Precinct 34,169,169,0
,Straight Party,,REP,Wayne,Precinct 34,6,6,0
,Straight Party,,DEM,Wayne,Precinct 34,30,30,0
,Straight Party,,MTN,Wayne,Precinct 34,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 34,30,30,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 34,138,138,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 34,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 34,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 34,0,0,0
,Registered Voters ,,,Wayne,Precinct 36,853,,
,Ballots Cast,,,Wayne,Precinct 36,175,175,0
,Straight Party,,REP,Wayne,Precinct 36,13,13,0
,Straight Party,,DEM,Wayne,Precinct 36,57,57,0
,Straight Party,,MTN,Wayne,Precinct 36,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 36,40,40,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 36,131,131,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 36,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 36,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 36,0,0,0
,Registered Voters ,,,Wayne,Precinct 37,923,,
,Ballots Cast,,,Wayne,Precinct 37,148,148,0
,Straight Party,,REP,Wayne,Precinct 37,17,17,0
,Straight Party,,DEM,Wayne,Precinct 37,35,35,0
,Straight Party,,MTN,Wayne,Precinct 37,2,2,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 37,50,50,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 37,95,95,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 37,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 37,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 37,0,0,0
,Registered Voters ,,,Wayne,Precinct 41,615,,
,Ballots Cast,,,Wayne,Precinct 41,123,123,0
,Straight Party,,REP,Wayne,Precinct 41,11,11,0
,Straight Party,,DEM,Wayne,Precinct 41,39,39,0
,Straight Party,,MTN,Wayne,Precinct 41,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 41,30,30,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 41,88,88,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 41,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 41,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 41,0,0,0
,Registered Voters ,,,Wayne,Precinct 42,479,,
,Ballots Cast,,,Wayne,Precinct 42,97,97,0
,Straight Party,,REP,Wayne,Precinct 42,6,6,0
,Straight Party,,DEM,Wayne,Precinct 42,26,26,0
,Straight Party,,MTN,Wayne,Precinct 42,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 42,18,18,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 42,75,75,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 42,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 42,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 42,0,0,0
,Registered Voters ,,,Wayne,Precinct 45,682,,
,Ballots Cast,,,Wayne,Precinct 45,151,151,0
,Straight Party,,REP,Wayne,Precinct 45,12,12,0
,Straight Party,,DEM,Wayne,Precinct 45,56,56,0
,Straight Party,,MTN,Wayne,Precinct 45,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 45,32,32,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 45,115,115,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 45,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 45,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 45,0,0,0
,Registered Voters ,,,Wayne,Precinct 48,1018,,
,Ballots Cast,,,Wayne,Precinct 48,272,272,0
,Straight Party,,REP,Wayne,Precinct 48,26,26,0
,Straight Party,,DEM,Wayne,Precinct 48,35,35,0
,Straight Party,,MTN,Wayne,Precinct 48,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 48,131,131,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 48,136,136,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 48,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 48,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 48,0,0,0
,Registered Voters ,,,Wayne,Precinct 49,1063,,
,Ballots Cast,,,Wayne,Precinct 49,314,314,0
,Straight Party,,REP,Wayne,Precinct 49,32,32,0
,Straight Party,,DEM,Wayne,Precinct 49,50,50,0
,Straight Party,,MTN,Wayne,Precinct 49,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 49,144,144,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 49,154,154,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 49,7,7,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 49,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 49,1,1,0
,Registered Voters ,,,Wayne,Precinct 50,0,,
,Ballots Cast,,,Wayne,Precinct 50,215,215,0
,Straight Party,,REP,Wayne,Precinct 50,7,7,0
,Straight Party,,DEM,Wayne,Precinct 50,38,38,0
,Straight Party,,MTN,Wayne,Precinct 50,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 50,73,73,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 50,137,137,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 50,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 50,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 50,0,0,0
,Registered Voters ,,,Wayne,Precinct 51,1308,,
,Ballots Cast,,,Wayne,Precinct 51,247,247,0
,Straight Party,,REP,Wayne,Precinct 51,9,9,0
,Straight Party,,DEM,Wayne,Precinct 51,43,43,0
,Straight Party,,MTN,Wayne,Precinct 51,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 51,70,70,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 51,171,171,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 51,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 51,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 51,0,0,0
,Registered Voters ,,,Wayne,Precinct 52,497,,
,Ballots Cast,,,Wayne,Precinct 52,112,112,0
,Straight Party,,REP,Wayne,Precinct 52,9,9,0
,Straight Party,,DEM,Wayne,Precinct 52,20,20,0
,Straight Party,,MTN,Wayne,Precinct 52,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 52,39,39,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 52,67,67,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 52,2,2,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 52,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 52,1,1,0
,Registered Voters ,,,Wayne,Precinct 53,805,,
,Ballots Cast,,,Wayne,Precinct 53,221,221,0
,Straight Party,,REP,Wayne,Precinct 53,16,16,0
,Straight Party,,DEM,Wayne,Precinct 53,24,24,0
,Straight Party,,MTN,Wayne,Precinct 53,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 53,104,104,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 53,109,109,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 53,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 53,4,4,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 53,1,1,0
,Registered Voters ,,,Wayne,Precinct 54,725,,
,Ballots Cast,,,Wayne,Precinct 54,194,194,0
,Straight Party,,REP,Wayne,Precinct 54,10,10,0
,Straight Party,,DEM,Wayne,Precinct 54,23,23,0
,Straight Party,,MTN,Wayne,Precinct 54,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 54,64,64,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 54,127,127,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 54,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 54,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 54,3,3,0
,Registered Voters ,,,Wayne,Precinct 56,1231,,
,Ballots Cast,,,Wayne,Precinct 56,303,303,0
,Straight Party,,REP,Wayne,Precinct 56,29,29,0
,Straight Party,,DEM,Wayne,Precinct 56,26,26,0
,Straight Party,,MTN,Wayne,Precinct 56,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 56,145,145,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 56,152,152,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 56,5,5,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 56,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 56,0,0,0
,Registered Voters ,,,Wayne,Precinct 57,642,,
,Ballots Cast,,,Wayne,Precinct 57,180,180,0
,Straight Party,,REP,Wayne,Precinct 57,18,18,0
,Straight Party,,DEM,Wayne,Precinct 57,17,17,0
,Straight Party,,MTN,Wayne,Precinct 57,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 57,80,80,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 57,98,98,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 57,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 57,0,0,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 57,0,0,0
,Registered Voters ,,,Wayne,Precinct 59,813,,
,Ballots Cast,,,Wayne,Precinct 59,209,209,0
,Straight Party,,REP,Wayne,Precinct 59,27,27,0
,Straight Party,,DEM,Wayne,Precinct 59,31,31,0
,Straight Party,,MTN,Wayne,Precinct 59,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 59,96,96,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 59,109,109,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 59,0,0,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 59,2,2,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 59,0,0,0
,Registered Voters ,,,Wayne,Precinct 60,0,,
,Ballots Cast,,,Wayne,Precinct 60,193,193,0
,Straight Party,,REP,Wayne,Precinct 60,17,17,0
,Straight Party,,DEM,Wayne,Precinct 60,30,30,0
,Straight Party,,MTN,Wayne,Precinct 60,0,0,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 60,87,87,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 60,102,102,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 60,1,1,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 60,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 60,1,1,0
,Registered Voters ,,,Wayne,Precinct 61,600,,
,Ballots Cast,,,Wayne,Precinct 61,168,168,0
,Straight Party,,REP,Wayne,Precinct 61,6,6,0
,Straight Party,,DEM,Wayne,Precinct 61,14,14,0
,Straight Party,,MTN,Wayne,Precinct 61,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 61,69,69,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 61,87,87,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 61,6,6,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 61,3,3,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 61,0,0,0
,Registered Voters ,,,Wayne,Precinct 62,1116,,
,Ballots Cast,,,Wayne,Precinct 62,347,347,0
,Straight Party,,REP,Wayne,Precinct 62,40,40,0
,Straight Party,,DEM,Wayne,Precinct 62,42,42,0
,Straight Party,,MTN,Wayne,Precinct 62,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 62,176,176,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 62,151,151,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 62,8,8,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 62,4,4,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 62,1,1,0
,Registered Voters ,,,Wayne,Precinct 63,543,,
,Ballots Cast,,,Wayne,Precinct 63,132,132,0
,Straight Party,,REP,Wayne,Precinct 63,12,12,0
,Straight Party,,DEM,Wayne,Precinct 63,22,22,0
,Straight Party,,MTN,Wayne,Precinct 63,1,1,0
Bill Maloney ,Governor,,REP,Wayne,Precinct 63,49,49,0
Earl Ray Tomblin,Governor,,DEM,Wayne,Precinct 63,69,69,0
Bob Henry Baber,Governor,,MTN,Wayne,Precinct 63,4,4,0
Marla Dee Ingels ,Governor,,IND,Wayne,Precinct 63,1,1,0
Harry V. Bertram,Governor,,ATP,Wayne,Precinct 63,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,