candidate,office,district,party,county,precinct,total votes,early voting,election day
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 14,49,4,45
Arne Moltis,Governor,,DEM,Jefferson,Precinct 14,9,0,9
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 14,50,4,46
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 14,49,4,45
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 14,49,4,45
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,0,0,0
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,51,3,48
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,3,1,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,2,0,2
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 14,45,3,42
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 14,51,4,47
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 14,48,3,45
Ron Paul,President,,REP,Jefferson,Precinct 14,1,0,1
Newt Gingrich,President,,REP,Jefferson,Precinct 14,1,0,1
Mitt Romney,President,,REP,Jefferson,Precinct 14,8,0,8
Rick Santorum,President,,REP,Jefferson,Precinct 14,1,1,0
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 14,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 14,8,1,7
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 14,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 14,8,0,8
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 14,2,1,1
Ralph William Clark,Governor,,REP,Jefferson,Precinct 14,2,0,2
Bill Maloney,Governor,,REP,Jefferson,Precinct 14,7,1,6
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 14,8,1,7
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 14,7,1,6
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 14,5,1,4
Mike Hall,Treasurer,,REP,Jefferson,Precinct 14,2,0,2
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 14,11,1,10
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 14,8,1,7
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 14,6,1,5
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 14,2,0,2
Keith Judd,President,,DEM,Jefferson,Precinct 15,21,1,20
Barack Obama,President,,DEM,Jefferson,Precinct 15,44,3,41
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 15,13,2,11
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 15,52,2,50
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 15,8,1,7
William McCann,U.S. House,2,DEM,Jefferson,Precinct 15,51,2,49
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 15,2,1,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 15,47,4,43
Arne Moltis,Governor,,DEM,Jefferson,Precinct 15,13,0,13
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 15,53,4,49
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 15,48,4,44
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 15,50,4,46
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 15,2,0,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 15,58,3,55
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 15,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 15,3,1,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 15,2,0,2
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 15,50,4,46
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 15,60,4,56
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 15,57,4,53
Ron Paul,President,,REP,Jefferson,Precinct 15,3,0,3
Newt Gingrich,President,,REP,Jefferson,Precinct 15,1,0,1
Mitt Romney,President,,REP,Jefferson,Precinct 15,37,4,33
Rick Santorum,President,,REP,Jefferson,Precinct 15,4,0,4
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 15,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 15,42,4,38
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 15,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 15,38,4,34
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 15,6,0,6
Ralph William Clark,Governor,,REP,Jefferson,Precinct 15,7,1,6
Bill Maloney,Governor,,REP,Jefferson,Precinct 15,34,3,31
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 15,36,3,33
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 15,38,3,35
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 15,24,3,21
Mike Hall,Treasurer,,REP,Jefferson,Precinct 15,11,0,11
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 15,39,2,37
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 15,39,2,37
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 15,21,2,19
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 15,17,2,15
Keith Judd,President,,DEM,Jefferson,Precinct 16,12,4,8
Barack Obama,President,,DEM,Jefferson,Precinct 16,38,7,31
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 16,18,4,14
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 16,34,8,26
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 16,4,1,3
William McCann,U.S. House,2,DEM,Jefferson,Precinct 16,40,10,30
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 16,4,1,3
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 16,38,10,28
Arne Moltis,Governor,,DEM,Jefferson,Precinct 16,12,2,10
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 16,44,10,34
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 16,41,10,31
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 16,43,10,33
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 16,1,0,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 16,45,10,35
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 16,1,1,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 16,4,1,3
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 16,1,0,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 16,42,11,31
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 16,44,8,36
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 16,42,8,34
Ron Paul,President,,REP,Jefferson,Precinct 16,9,2,7
Newt Gingrich,President,,REP,Jefferson,Precinct 16,0,0,0
Mitt Romney,President,,REP,Jefferson,Precinct 16,42,12,30
Rick Santorum,President,,REP,Jefferson,Precinct 16,8,5,3
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 16,2,1,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 16,55,20,35
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 16,4,1,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 16,36,10,26
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 16,20,9,11
Ralph William Clark,Governor,,REP,Jefferson,Precinct 16,9,3,6
Bill Maloney,Governor,,REP,Jefferson,Precinct 16,43,16,27
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 16,48,18,30
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 16,50,18,32
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 16,29,11,18
Mike Hall,Treasurer,,REP,Jefferson,Precinct 16,15,4,11
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 16,51,18,33
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 16,50,17,33
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 16,51,18,33
Keith Judd,President,,DEM,Jefferson,Precinct 17,33,4,29
Barack Obama,President,,DEM,Jefferson,Precinct 17,66,12,54
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 17,28,5,23
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 17,85,4,71
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 17,11,4,7
William McCann,U.S. House,2,DEM,Jefferson,Precinct 17,85,13,72
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 17,4,0,4
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 17,87,15,72
Arne Moltis,Governor,,DEM,Jefferson,Precinct 17,25,4,21
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 17,91,15,76
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 17,90,15,75
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 17,92,16,76
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 17,5,0,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 17,100,17,83
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 17,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 17,7,0,7
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 17,2,2,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 17,89,16,73
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 17,94,14,80
Stephne Skinner,House of Delegates,67,DEM,Jefferson,Precinct 17,93,15,78
Ron Paul,President,,REP,Jefferson,Precinct 17,18,5,13
Newt Gingrich,President,,REP,Jefferson,Precinct 17,6,1,5
Mitt Romney,President,,REP,Jefferson,Precinct 17,56,7,49
Rick Santorum,President,,REP,Jefferson,Precinct 17,10,0,10
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 17,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 17,75,12,63
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 17,3,0,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 17,59,8,51
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 17,25,5,20
Ralph William Clark,Governor,,REP,Jefferson,Precinct 17,16,0,16
Bill Maloney,Governor,,REP,Jefferson,Precinct 17,64,12,52
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 17,60,8,52
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 17,70,10,60
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 17,44,4,40
Mike Hall,Treasurer,,REP,Jefferson,Precinct 17,17,4,13
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 17,75,9,66
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 17,75,12,63
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 17,60,10,50
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 17,17,0,17
Keith Judd,President,,DEM,Jefferson,Precinct 19,14,0,14
Barack Obama,President,,DEM,Jefferson,Precinct 19,49,19,30
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 19,20,5,15
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 19,48,15,33
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 19,7,2,5
William McCann,U.S. House,2,DEM,Jefferson,Precinct 19,51,14,37
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 19,6,3,3
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 19,51,15,36
Arne Moltis,Governor,,DEM,Jefferson,Precinct 19,17,6,11
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 19,58,14,44
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 19,57,13,44
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 19,55,13,42
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 19,4,0,4
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 19,59,16,43
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 19,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 19,5,2,3
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 19,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 19,59,15,44
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 19,64,15,49
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 19,8,4,4
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 19,59,14,45
Ron Paul,President,,REP,Jefferson,Precinct 19,7,2,5
Newt Gingrich,President,,REP,Jefferson,Precinct 19,3,0,3
Mitt Romney,President,,REP,Jefferson,Precinct 19,32,9,23
Rick Santorum,President,,REP,Jefferson,Precinct 19,8,0,8
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 19,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 19,39,8,31
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 19,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 19,29,7,22
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 19,15,3,12
Ralph William Clark,Governor,,REP,Jefferson,Precinct 19,6,1,5
Bill Maloney,Governor,,REP,Jefferson,Precinct 19,34,7,27
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 19,37,6,31
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 19,43,9,34
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 19,20,5,15
Mike Hall,Treasurer,,REP,Jefferson,Precinct 19,16,1,15
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 19,43,10,33
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 19,42,9,33
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 19,41,7,34
Keith Judd,President,,DEM,Jefferson,Precinct 20,34,7,27
Barack Obama,President,,DEM,Jefferson,Precinct 20,99,33,66
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 20,39,15,24
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 20,105,29,76
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 20,8,4,4
William McCann,U.S. House,2,DEM,Jefferson,Precinct 20,115,35,80
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 20,7,2,5
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 20,115,31,84
Arne Moltis,Governor,,DEM,Jefferson,Precinct 20,23,7,16
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 20,115,33,82
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 20,111,33,78
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 20,113,34,79
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 20,20,5,15
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 20,114,36,78
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 20,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 20,8,2,6
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 20,5,0,5
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 20,114,34,80
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 20,123,35,88
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 20,110,34,76
Ron Paul,President,,REP,Jefferson,Precinct 20,31,7,24
Newt Gingrich,President,,REP,Jefferson,Precinct 20,3,1,2
Mitt Romney,President,,REP,Jefferson,Precinct 20,98,24,74
Rick Santorum,President,,REP,Jefferson,Precinct 20,12,1,11
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 20,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 20,126,29,97
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 20,5,2,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 20,98,22,76
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 20,43,11,32
Ralph William Clark,Governor,,REP,Jefferson,Precinct 20,26,7,19
Bill Maloney,Governor,,REP,Jefferson,Precinct 20,108,25,83
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 20,107,23,84
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 20,111,26,85
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 20,61,13,48
Mike Hall,Treasurer,,REP,Jefferson,Precinct 20,47,12,35
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 20,117,28,89
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 20,115,27,88
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 20,125,28,97
Keith Judd,President,,DEM,Jefferson,Precinct 21A,12,5,7
Barack Obama,President,,DEM,Jefferson,Precinct 21A,74,17,57
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 21A,23,7,16
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 21A,65,15,50
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 21A,11,4,7
William McCann,U.S. House,2,DEM,Jefferson,Precinct 21A,64,15,49
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 21A,7,2,5
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 21A,68,15,53
Arne Moltis,Governor,,DEM,Jefferson,Precinct 21A,15,6,9
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 21A,73,21,52
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 21A,69,18,51
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 21A,69,19,50
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21A,5,0,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21A,66,19,47
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21A,2,0,2
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21A,11,3,8
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21A,2,0,2
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 21A,69,19,50
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 21A,75,19,56
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 21A,84,21,63
Ron Paul,President,,REP,Jefferson,Precinct 21A,19,2,17
Newt Gingrich,President,,REP,Jefferson,Precinct 21A,5,0,5
Mitt Romney,President,,REP,Jefferson,Precinct 21A,45,6,39
Rick Santorum,President,,REP,Jefferson,Precinct 21A,9,1,8
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 21A,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 21A,63,6,57
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 21A,4,1,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 21A,41,4,37
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 21A,27,3,24
Ralph William Clark,Governor,,REP,Jefferson,Precinct 21A,16,1,15
Bill Maloney,Governor,,REP,Jefferson,Precinct 21A,56,7,49
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 21A,65,6,59
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 21A,64,6,58
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 21A,42,4,38
Mike Hall,Treasurer,,REP,Jefferson,Precinct 21A,25,3,22
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 21A,67,6,61
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 21A,68,6,62
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 21A,63,6,57
Keith Judd,President,,DEM,Jefferson,Precinct 21B,14,0,14
Barack Obama,President,,DEM,Jefferson,Precinct 21B,34,9,25
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 21B,12,0,12
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 21B,33,8,25
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 21B,6,2,4
William McCann,U.S. House,2,DEM,Jefferson,Precinct 21B,33,5,28
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 21B,3,2,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 21B,40,8,32
Arne Moltis,Governor,,DEM,Jefferson,Precinct 21B,7,1,6
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 21B,40,7,33
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 21B,35,7,28
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 21B,34,6,28
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21B,1,0,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21B,34,7,27
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21B,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21B,6,1,5
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 21B,1,0,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 21B,37,6,31
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 21B,39,8,31
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 21B,38,8,30
Ron Paul,President,,REP,Jefferson,Precinct 21B,22,3,19
Newt Gingrich,President,,REP,Jefferson,Precinct 21B,5,0,5
Mitt Romney,President,,REP,Jefferson,Precinct 21B,78,20,58
Rick Santorum,President,,REP,Jefferson,Precinct 21B,9,2,7
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 21B,2,0,2
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 21B,97,22,75
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 21B,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 21B,75,21,54
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 21B,38,3,35
Ralph William Clark,Governor,,REP,Jefferson,Precinct 21B,17,3,14
Bill Maloney,Governor,,REP,Jefferson,Precinct 21B,90,21,69
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 21B,90,20,70
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 21B,91,19,72
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 21B,57,14,43
Mike Hall,Treasurer,,REP,Jefferson,Precinct 21B,34,6,28
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 21B,101,23,78
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 21B,99,22,77
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 21B,97,23,74
Keith Judd,President,,DEM,Jefferson,Precinct 22,22,5,17
Barack Obama,President,,DEM,Jefferson,Precinct 22,85,18,67
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 22,34,8,26
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 22,79,18,61
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 22,15,5,10
William McCann,U.S. House,2,DEM,Jefferson,Precinct 22,85,18,67
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 22,3,2,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 22,95,22,73
Arne Moltis,Governor,,DEM,Jefferson,Precinct 22,18,6,12
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 22,98,23,75
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 22,97,23,74
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 22,95,23,72
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 22,3,1,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 22,103,25,78
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 22,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 22,5,2,3
