candidate,office,district,party,county,precinct,total votes,650_ed,650_ev,ivo_ed,ivo_ev
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 7B,23,17,4,6,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 7B,18,7,3,7,1
Ralph William Clark,Governor,,REP,Pendleton,Precinct 7B,6,3,1,2,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 7B,15,5,2,7,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 7B,16,5,2,8,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 7B,7,3,1,3,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 7B,9,3,1,4,1
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 7B,15,4,3,7,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 7B,24,12,3,8,1
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 7B,17,6,3,7,1
Keith Judd,President,,DEM,Pendleton,Precinct 8,22,13,1,8,0
Barack Obama,President,,DEM,Pendleton,Precinct 8,28,13,5,8,2
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 8,18,12,1,5,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 8,41,20,6,13,2
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 8,21,13,2,5,1
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 8,5,3,1,1,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 8,17,8,2,6,1
Arne Moltis,Governor,,DEM,Pendleton,Precinct 8,9,7,0,2,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 8,44,22,6,14,2
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 8,45,24,4,15,2
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 8,43,24,4,13,2
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 8,45,26,4,13,2
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,1,1,0,0,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,2,1,0,0,1
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,13,6,4,2,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,41,23,4,14,0
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,1,0,0,1,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 8,48,26,5,15,2
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 8,22,14,1,6,1
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 8,19,10,2,6,1
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 8,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 8,3,2,0,1,0
Ron Paul,President,,REP,Pendleton,Precinct 8,2,2,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 8,5,5,0,0,0
Mitt Romney,President,,REP,Pendleton,Precinct 8,41,28,4,8,1
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 8,40,31,4,4,1
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 8,4,2,0,2,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 8,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 8,47,36,4,7,0
Bill Maloney,Governor,,REP,Pendleton,Precinct 8,40,31,2,7,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 8,8,5,1,1,1
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 8,39,27,4,7,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 8,39,26,4,8,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 8,24,15,4,4,1
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 8,17,14,0,3,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 8,36,25,4,6,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 8,42,30,4,7,1
Allen V. Evans,House of Delegates,54,REP,Pendleton,Precinct 8,39,26,4,8,1
Keith Judd,President,,DEM,Pendleton,Precinct 9,67,45,8,12,2
Barack Obama,President,,DEM,Pendleton,Precinct 9,51,21,8,17,5
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 9,41,22,6,10,3
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 9,109,60,13,28,8
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 9,40,23,6,11,0
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 9,7,3,1,2,1
William McCann,U.S. House,2,DEM,Pendleton,Precinct 9,46,25,4,12,5
Arne Moltis,Governor,,DEM,Pendleton,Precinct 9,34,23,3,6,2
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 9,105,53,16,28,8
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 9,100,45,15,30,10
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 9,95,42,17,27,9
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 9,101,47,17,28,9
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 9,6,2,3,0,1
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 9,0,0,0,0,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 9,55,25,5,16,9
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 9,93,57,13,22,1
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 9,4,3,0,1,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 9,95,43,15,29,8
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 9,44,27,1,11,5
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 9,51,24,10,15,2
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 9,37,28,4,3,2
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 9,123,62,16,35,10
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 9,1,0,0,1,0
Newt Gingrich,President,,REP,Pendleton,Precinct 9,2,2,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 9,3,2,1,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 9,5,3,1,1,0
Mitt Romney,President,,REP,Pendleton,Precinct 9,38,24,5,9,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 9,42,25,5,12,0
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 9,6,4,0,2,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 9,2,0,1,1,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 9,41,25,6,10,0
Bill Maloney,Governor,,REP,Pendleton,Precinct 9,39,24,4,11,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 9,9,5,3,1,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 9,30,18,3,9,0
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 9,31,19,3,9,0
Mike Hall,Treasurer,,REP,Pendleton,Precinct 9,20,11,4,5,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 9,14,10,1,3,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 9,32,19,3,10,0
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 9,44,28,4,12,0
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 9,40,26,5,9,0
Keith Judd,President,,DEM,Pendleton,Precinct 11,45,22,1,18,4
Barack Obama,President,,DEM,Pendleton,Precinct 11,30,16,2,10,2
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 11,16,11,0,3,2
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 11,71,36,3,29,3
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 11,21,10,1,8,2
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 11,6,5,1,0,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 11,21,7,0,13,1
Arne Moltis,Governor,,DEM,Pendleton,Precinct 11,16,13,0,3,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 11,67,29,5,28,5
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 11,56,25,3,25,3
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 11,55,25,3,23,4
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 11,58,25,4,24,5
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 11,8,3,1,4,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 11,0,0,0,0,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 11,8,3,0,4,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 11,74,43,4,22,5
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 11,1,1,0,0,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 11,58,34,1,21,2
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 11,17,8,1,7,1
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 11,30,18,1,10,1
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 11,14,5,1,5,3
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 11,80,47,5,25,3
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 11,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 11,1,1,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 11,5,5,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 11,0,0,0,0,0
Mitt Romney,President,,REP,Pendleton,Precinct 11,18,12,0,6,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 11,15,11,0,4,0
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 11,2,1,0,1,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 11,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 11,18,13,0,5,0
Bill Maloney,Governor,,REP,Pendleton,Precinct 11,11,6,0,5,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 11,6,5,0,1,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 11,16,11,0,5,0
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 11,16,10,0,6,0
Mike Hall,Treasurer,,REP,Pendleton,Precinct 11,11,8,0,3,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 11,7,4,0,3,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 11,16,10,0,6,0
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 11,20,14,0,6,0
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 11,16,10,0,6,0
Keith Judd,President,,DEM,Pendleton,Precinct 12,38,28,3,5,2
Barack Obama,President,,DEM,Pendleton,Precinct 12,39,20,6,11,2
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 12,23,17,2,3,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 12,63,35,9,15,4
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 12,30,17,2,8,3
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 12,11,4,3,4,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 12,28,20,3,4,1
Arne Moltis,Governor,,DEM,Pendleton,Precinct 12,26,21,2,2,1
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 12,60,30,10,16,4
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 12,68,37,9,18,4
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 12,68,37,11,16,4
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 12,68,37,9,18,4
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 12,3,3,0,0,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 12,7,4,1,2,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 12,7,5,0,2,0
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 12,67,38,10,14,5
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 12,4,2,1,1,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 12,67,36,10,17,4
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 12,25,12,4,7,2
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 12,42,29,3,8,2
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 12,22,14,1,6,1
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 12,71,42,12,13,4
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 12,1,1,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 12,0,0,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 12,3,1,0,1,1
Rick Santorum,President,,REP,Pendleton,Precinct 12,3,2,0,0,1
Mitt Romney,President,,REP,Pendleton,Precinct 12,11,7,2,2,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 12,15,8,2,3,2
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 12,1,0,0,1,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 12,2,1,0,1,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 12,15,9,3,1,2
Bill Maloney,Governor,,REP,Pendleton,Precinct 12,12,8,1,2,1
Ralph William Clark,Governor,,REP,Pendleton,Precinct 12,5,1,2,1,1
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 12,14,7,2,3,2
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 12,14,8,2,2,2
Mike Hall,Treasurer,,REP,Pendleton,Precinct 12,7,5,0,1,1
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 12,4,0,2,1,1
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 12,12,6,2,2,2
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 12,14,8,2,2,2
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 12,13,6,3,2,2
Keith Judd,President,,DEM,Pendleton,Precinct 13,24,23,0,0,1
Barack Obama,President,,DEM,Pendleton,Precinct 13,9,8,0,1,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 13,10,10,0,0,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 13,32,30,0,1,1
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 13,19,18,0,0,1
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 13,5,5,0,0,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 13,14,13,0,1,0
Arne Moltis,Governor,,DEM,Pendleton,Precinct 13,10,10,0,0,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 13,33,31,0,1,1
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 13,32,30,0,1,1
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 13,35,33,0,1,1
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 13,31,29,0,1,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 13,3,2,0,1,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 13,3,3,0,0,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 13,10,9,0,0,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 13,29,29,0,0,0
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 13,2,2,0,0,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 13,38,36,0,1,1
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 13,12,12,0,0,0
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 13,22,20,0,1,1
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 13,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 13,2,2,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 13,4,4,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 13,6,5,1,0,0
Mitt Romney,President,,REP,Pendleton,Precinct 13,47,40,2,3,2
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 13,45,39,3,2,1
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 13,6,6,0,0,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 13,2,2,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 13,49,41,3,3,2
Bill Maloney,Governor,,REP,Pendleton,Precinct 13,36,31,2,2,1
Ralph William Clark,Governor,,REP,Pendleton,Precinct 13,15,12,1,1,1
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 13,36,31,1,3,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 13,33,29,1,2,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 13,22,20,1,0,1
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 13,15,12,0,2,1
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 13,33,29,1,2,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 13,51,46,1,3,1
Allen V. Evans,House of Delegates,54,REP,Pendleton,Precinct 13,47,42,2,2,1
Keith Judd,President,,DEM,Pendleton,Precinct 14,22,17,1,4,0
Barack Obama,President,,DEM,Pendleton,Precinct 14,26,22,1,2,1
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 14,9,8,0,1,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 14,50,37,3,8,2
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 14,21,18,0,3,0
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 14,4,3,0,1,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 14,22,15,2,3,2
Arne Moltis,Governor,,DEM,Pendleton,Precinct 14,7,6,0,1,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 14,48,36,3,7,2
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 14,49,38,2,7,2
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 14,49,37,2,8,2
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 14,50,40,2,7,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 14,2,1,1,0,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 14,2,2,0,0,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 14,7,6,0,0,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 14,48,36,2,9,1
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 14,1,1,0,0,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 14,47,37,2,6,2
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 14,18,13,0,4,1
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 14,30,24,2,3,1
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 14,1,1,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 14,2,2,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 14,3,2,0,1,0
Rick Santorum,President,,REP,Pendleton,Precinct 14,3,2,0,1,0
Mitt Romney,President,,REP,Pendleton,Precinct 14,37,26,1,9,1
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 14,41,29,1,10,1
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 14,8,6,0,2,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 14,1,1,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 14,37,27,1,8,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 14,29,22,1,6,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 14,13,8,0,4,1
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 14,34,23,1,9,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 14,35,23,1,10,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 14,17,14,0,3,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 14,17,10,1,5,1
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 14,33,23,1,8,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 14,42,31,1,9,1
Allen V. Evans,House of Delegates,54,REP,Pendleton,Precinct 14,41,28,1,11,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
