candidate,office,district,party,county,precinct,votes,winner
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 2,71,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 2,143,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 2,8,
Carol Miller,U.S. House,3,,Boone,Precinct 2,93,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 2,124,
Jason Stephens,State Senate,7,,Boone,Precinct 2,43,
Ron Stollings,State Senate,7,,Boone,Precinct 2,185,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 2,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 2,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 2,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 2,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 2,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 2,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 2,70,
Aaron Stone,House of Delegates,24,,Boone,Precinct 2,53,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 2,107,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 2,99,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 3,107,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 3,91,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 3,7,
Carol Miller,U.S. House,3,,Boone,Precinct 3,114,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 3,85,
Jason Stephens,State Senate,7,,Boone,Precinct 3,71,
Ron Stollings,State Senate,7,,Boone,Precinct 3,131,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 3,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 3,114,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 3,43,
Bill Bryant,House of Delegates,22,,Boone,Precinct 3,35,
Gary McCallister,House of Delegates,22,,Boone,Precinct 3,48,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 3,93,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 3,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 3,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 3,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 3,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 4,69,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 4,97,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 4,14,
Carol Miller,U.S. House,3,,Boone,Precinct 4,99,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 4,85,
Jason Stephens,State Senate,7,,Boone,Precinct 4,51,
Ron Stollings,State Senate,7,,Boone,Precinct 4,132,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 4,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 4,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 4,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 4,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 4,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 4,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 4,71,
Aaron Stone,House of Delegates,24,,Boone,Precinct 4,56,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 4,81,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 4,64,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 7,148,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 7,215,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 7,16,
Carol Miller,U.S. House,3,,Boone,Precinct 7,169,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 7,199,
Jason Stephens,State Senate,7,,Boone,Precinct 7,80,
Ron Stollings,State Senate,7,,Boone,Precinct 7,298,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 7,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 7,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 7,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 7,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 7,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 7,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 7,122,
Aaron Stone,House of Delegates,24,,Boone,Precinct 7,97,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 7,201,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 7,119,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 9,85,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 9,105,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 9,10,
Carol Miller,U.S. House,3,,Boone,Precinct 9,101,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 9,93,
Jason Stephens,State Senate,7,,Boone,Precinct 9,63,
Ron Stollings,State Senate,7,,Boone,Precinct 9,135,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 9,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 9,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 9,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 9,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 9,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 9,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 9,79,
Aaron Stone,House of Delegates,24,,Boone,Precinct 9,44,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 9,109,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 9,69,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 11,110,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 11,121,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 11,10,
Carol Miller,U.S. House,3,,Boone,Precinct 11,127,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 11,103,
Jason Stephens,State Senate,7,,Boone,Precinct 11,76,
Ron Stollings,State Senate,7,,Boone,Precinct 11,169,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 11,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 11,106,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 11,44,
Bill Bryant,House of Delegates,22,,Boone,Precinct 11,22,
Gary McCallister,House of Delegates,22,,Boone,Precinct 11,86,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 11,119,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 11,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 11,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 11,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 11,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 12,163,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 12,273,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 12,6,
Carol Miller,U.S. House,3,,Boone,Precinct 12,206,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 12,229,
Jason Stephens,State Senate,7,,Boone,Precinct 12,94,
Ron Stollings,State Senate,7,,Boone,Precinct 12,347,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 12,393,
Zack Maynard,House of Delegates,22,,Boone,Precinct 12,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 12,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 12,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 12,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 12,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 12,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 12,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 12,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 12,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 13,76,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 13,175,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 13,11,
Carol Miller,U.S. House,3,,Boone,Precinct 13,109,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 13,147,
Jason Stephens,State Senate,7,,Boone,Precinct 13,42,
Ron Stollings,State Senate,7,,Boone,Precinct 13,216,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 13,244,
Zack Maynard,House of Delegates,22,,Boone,Precinct 13,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 13,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 13,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 13,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 13,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 13,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 13,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 13,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 13,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 14,119,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 14,170,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 14,14,
Carol Miller,U.S. House,3,,Boone,Precinct 14,144,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 14,147,
Jason Stephens,State Senate,7,,Boone,Precinct 14,81,
Ron Stollings,State Senate,7,,Boone,Precinct 14,214,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 14,262,
Zack Maynard,House of Delegates,22,,Boone,Precinct 14,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 14,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 14,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 14,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 14,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 14,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 14,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 14,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 14,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 15,235,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 15,284,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 15,11,
Carol Miller,U.S. House,3,,Boone,Precinct 15,268,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 15,246,
Jason Stephens,State Senate,7,,Boone,Precinct 15,138,
Ron Stollings,State Senate,7,,Boone,Precinct 15,387,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 15,470,
Zack Maynard,House of Delegates,22,,Boone,Precinct 15,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 15,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 15,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 15,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 15,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 15,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 15,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 15,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 15,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 17,110,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 17,116,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 17,7,
Carol Miller,U.S. House,3,,Boone,Precinct 17,135,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 17,94,
Jason Stephens,State Senate,7,,Boone,Precinct 17,85,
Ron Stollings,State Senate,7,,Boone,Precinct 17,146,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 17,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 17,111,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 17,62,
Bill Bryant,House of Delegates,22,,Boone,Precinct 17,19,
Gary McCallister,House of Delegates,22,,Boone,Precinct 17,78,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 17,104,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 17,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 17,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 17,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 17,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 18,52,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 18,50,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 18,2,
Carol Miller,U.S. House,3,,Boone,Precinct 18,69,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 18,34,
Jason Stephens,State Senate,7,,Boone,Precinct 18,36,
Ron Stollings,State Senate,7,,Boone,Precinct 18,67,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 18,,
Zack Maynard,House of Delegates,22,,Boone,Precinct 18,60,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 18,31,
Bill Bryant,House of Delegates,22,,Boone,Precinct 18,7,
Gary McCallister,House of Delegates,22,,Boone,Precinct 18,30,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 18,39,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 18,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 18,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 18,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 18,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 19,109,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 19,172,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 19,9,
Carol Miller,U.S. House,3,,Boone,Precinct 19,130,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 19,155,
Jason Stephens,State Senate,7,,Boone,Precinct 19,60,
Ron Stollings,State Senate,7,,Boone,Precinct 19,229,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 19,260,
Zack Maynard,House of Delegates,22,,Boone,Precinct 19,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,,Boone,Precinct 19,,
Bill Bryant,House of Delegates,22,,Boone,Precinct 19,,
Gary McCallister,House of Delegates,22,,Boone,Precinct 19,,
Jeff E. Eldridge,House of Delegates,22,,Boone,Precinct 19,,
Jordan Bridges,House of Delegates,24,,Boone,Precinct 19,,
Aaron Stone,House of Delegates,24,,Boone,Precinct 19,,
Ralph Rodighiero,House of Delegates,24,,Boone,Precinct 19,,
Tim Tomblin,House of Delegates,24,,Boone,Precinct 19,,
Patrick Morrisey,U.S. Senate,,,Boone,Precinct 22,124,
Joseph Manchin III,U.S. Senate,,,Boone,Precinct 22,171,
Rusty Hollen,U.S. Senate,,,Boone,Precinct 22,6,
Carol Miller,U.S. House,3,,Boone,Precinct 22,158,
Richard Ojeda II,U.S. House,3,,Boone,Precinct 22,135,
Jason Stephens,State Senate,7,,Boone,Precinct 22,94,
Ron Stollings,State Senate,7,,Boone,Precinct 22,204,
Rodney A Miller,House of Delegates,23,,Boone,Precinct 22,247,
